service,city,rank,domain,page_url_found,business_name,email,phone
nail salon london,Waterloo,2,townhouse.co.uk,https://townhouse.co.uk/,,customercare@townhouse.co.uk; events@townhouse.co.uk; pr@townhouse.co.uk,
nail salon london,Waterloo,4,butterlondon.com,https://www.butterlondon.com/,butter LONDON,mates@butterlondon.com,
nail salon london,Waterloo,7,paintnailslondon.co.uk,https://paintnailslondon.co.uk/,Paint Nails London,info@paintnailslondon.co.uk,02081271121; 2081271121; 441137133
nail salon london,Waterloo,9,bellezabeauty.uk,https://bellezabeauty.uk/,,belleza_beauty@yahoo.com; bellezacolchester@gmail.com; info@bellezabeauty.uk,+4412066955; 01245203800; 0124569836
nail salon london,Waterloo,20,nail-worx.co.uk,https://nail-worx.co.uk/,,nailworxuk@gmail.com,0208076585
nail salon london,Borough,2,glamournailsse1.com,https://www.glamournailsse1.com/,Beauti Spa,glamournailsse1@gmail.com,0203417551
nail salon london,Borough,10,setmore.com,https://beautifulnailseyelashes.setmore.com/,DIAMOND SPA NAILS & BEAUTY,info@beautifulnailseyelashes.co.uk,74820312
nail salon london,Borough,14,trieunails.com,https://trieunails.com/,,hello@trieunails.com,0208981; 02089818161
nail salon london,Westminster,2,mytreatwell.co.uk,https://goglamwestminster.mytreatwell.co.uk/,,annatrieu86@googlemail.com,0207233
nail salon london,Westminster,10,moretonplace.co.uk,https://www.moretonplace.co.uk/,Moreton Place Beauty & Wellbeing,info@moretonplace.co.uk,0207821
nail salon london,Westminster,20,raffles.com,https://www.raffles.com/,,bali@raffles.com; bookus.makkah@raffles.com; bookus.phnompenh@raffles.com; bookus.praslin@raffles.com; bookus.siemreap@raffles.com; boston@raffles.com; dubai@raffles.com; hainan@raffles.com; hb5q2@raffles.com; info.doha@raffles.com; info.thepalm@raffles.com; info@rafflesmacau.com; jakarta@raffles.com; london@raffles.com; makati@raffles.com; paris@raffles.com; raffles.jeddah@raffles.com; reservation.istanbul@raffles.com; reservations.bahrain@raffles.com; reservations.jaipur@raffles.com; reservations.maldives@raffles.com; shenzhen@raffles.com; singapore@raffles.com; udaipur@raffles.com; warsaw@raffles.com,+15068706794; +18007689009; +1855855600
nail salon london,Southwark,6,maubeauty.co.uk,https://www.maubeauty.co.uk/,,hello@maubeauty.co.uk,02079671293
nail salon london,Southwark,7,mytreatwell.co.uk,https://charmingnails.mytreatwell.co.uk/,,charmingnails.uk@gmail.com,077847407
nail salon london,Southwark,10,thehoxton.com,https://thehoxton.com/,,bonjour@rivieparis.com; elio@thehox.com; events.rome@thehox.com,
nail salon london,Southwark,13,setmore.com,https://viviannailsbeauty.setmore.com/,Vivian Nails & Beauty,contactviviannails88@gmail.com,78950921
nail salon london,Elephant and Castle,9,68nailspa.com,https://68nailspa.com/,,nails@68nailspa.com,36011325
nail salon london,Elephant and Castle,12,nailsbymariaessentialbeautybar.co.uk,https://nailsbymariaessentialbeautybar.co.uk/,Nails By Maria Essential Beauty Bar,contact@nailsbymaria.com; nailsbymaria@hotmail.com; nailsbymaria@outlook.com,073053853
nail salon london,London Bridge,10,towernailsspa.co.uk,https://towernailsspa.co.uk/,,filler@godaddy.com; info@towernailsspa.co.uk,0794465050
nail salon london,London Bridge,12,ritasbeauty.co.uk,https://www.ritasbeauty.co.uk/,,info@ritasbeauty.co.uk,074010802
nail salon london,London Bridge,15,indigo-nailsny.com,https://indigo-nailsny.com/,,office@indigo-nailsny.com,+19294272518
nail salon london,Bermondsey,5,cloud9salon.co.uk,https://cloud9salon.co.uk/,,cloud9beauty.info@gmail.com,0160759196; 02073781; 0759196
nail salon london,Bermondsey,7,mytreatwell.co.uk,https://fab-nails-spa.mytreatwell.co.uk/,,lucynguyen15@gmail.com,0208616
nail salon london,Bermondsey,9,imagehairlondon.co.uk,https://imagehairlondon.co.uk/,,contact@imagehairlondon.co.uk,0207231; 02086775981
nail salon london,Bermondsey,13,mirlinda.co.uk,https://mirlinda.co.uk/,,salon@mirlinda.co.uk,0207740
nail salon london,Bermondsey,19,healthandbeautyclinic.london,https://healthandbeautyclinic.london/,,info@healthandbeautyclinic.london,0207064; 10207064; 70649100
nail salon london,Bermondsey,20,strandlock.co.uk,https://strandlock.co.uk/,Strand & Lock,info@strandlock.co.uk,0207089; 0207403
nail salon london,Bankside,3,getslick.com,https://osullivanconceptsalons.getslick.com/,,osullivansbankside@gmail.com,+440207021
nail salon london,Walworth,10,fantasbeauty.co.uk,https://www.fantasbeauty.co.uk/,,fantas395@yahoo.com,0207701678; 2077016789
nail salon london,Walworth,11,nailsbymariaessentialbeautybar.co.uk,https://nailsbymariaessentialbeautybar.co.uk/,Nails By Maria Essential Beauty Bar,hello@nailsbymaria.co.uk; nailsbymaria.beauty@gmail.com; nailsbymaria@gmail.com,073053853
nail salon london,Walworth,12,mytreatwell.co.uk,https://lynas-beauty.mytreatwell.co.uk/,,lynabeauty@icloud.com,0207703
nail salon london,Kennington,11,setmore.com,https://lavishspa.setmore.com/,Lavish Spa,spalavish036@gmail.com,34411290
nail salon london,Kennington,14,thegelbottle.com,https://thegelbottle.com/,,contact@thegelbottle.com,+443309127902; 08216906; 18777374672
nail salon london,Vauxhall,1,livetruelondon.com,https://livetruelondon.com/,,general@livetruelondon.com; info@livetruelondon.com; recruitment@livetruelondon.com,0204531; 0207582; 0207627
nail salon london,Vauxhall,11,trian.co.uk,https://www.trian.co.uk/,,customercare@trian.co.uk,7583900413
nail salon london,Vauxhall,12,happynailsvictoria.com,https://www.happynailsvictoria.com/,Happy Nails ,happynails.victoria320@gmail.com,077160152; 0771601524
